doi,column,label,matched_pattern,verbatim_snippet,source
10.1109/lsp.2019.2961072,public_dataset,Calgary-Campinas,Calgary[- ]Campinas,"ENTAL METHODOLOGY ## _A. Dataset_ Images from the _Calgary-Campinas-359_ ( _CC-359_ ) dataset [11], a collection of open,",full text
10.1109/lsp.2019.2961072,reference_standard,Fully sampled reference,,generated higher fidelity reconstructions compared to fully-sampled acquisitions than the opposite domain order [18]. Our inconclusive,full text
10.1109/lsp.2019.2961072,code_available,yes,(?:code|implementation) (?:is|will be|are)? ?(?:publicly |freely )?available|github\.com|gitlab\.com|zenodo,ils about the models are publicly available at https://github.com/rmsouza01/JPEG-reconstruction. ## _C. Performance Me,full text
10.1109/tmi.2019.2896085,method_family,Compressed sensing / parallel imaging,compressed sensing,"ifferent from traditional MRI acceleration methods, such as compressed sensing and parallel imaging, MOLED-4 accelerates quantitative T2 m",title+abstract
10.1109/tmi.2019.2896085,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,quantitative imaging time-consuming and sensitive to motion artifacts. A single-shot quantitative T2 mapping method based on mul,title+abstract
10.1109/tmi.2019.2896085,failure_modes,Motion degradation,motion[- ](?:artifact|corrupt|degrad|induced),makes quantitative imaging time-consuming and sensitive to motion artifacts. A single-shot quantitative T2 mapping method based on mul,title+abstract
10.1109/tmi.2019.2896085,failure_modes,Robustness / distribution shift,robust,Robust Single-Shot T2 Mapping via Multiple Overlapping-Echo Acquis,title+abstract
10.1016/j.mri.2020.05.002,method_family,Motion correction,motion artifact (?:reduction|removal|suppression|correction),"ng (MRI) acquisition is inherently sensitive to motion, and motion artifact reduction is essential for improving image quality in MRI. Methods: W",title+abstract
10.1016/j.mri.2020.05.002,evaluation,Pixel-wise metrics (PSNR/SSIM/NRMSE),\bSSIM\b,odels with signifcantly higher structural similarity index (SSIM) and improvement in signal-to-noise ratio (ISNR). The DRN-D,title+abstract
10.1016/j.mri.2020.05.002,evaluation,Observer / reader study,radiologists?,"ly mixed, and image quality was blindly evaluated by a neuroradiologist. The DRN-DCMB model signifcantly improved the overall image",title+abstract
10.1016/j.mri.2020.05.002,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,Motion artifacts reduction in brain MRI by means of a deep residual network,title+abstract
10.1016/j.mri.2020.05.002,failure_modes,Motion degradation,motion[- ](?:artifact|corrupt|degrad|induced),Motion artifacts reduction in brain MRI by means of a deep residual network,title+abstract
10.1016/j.mri.2020.05.002,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,cks (DRN-DCMB) model to reduce the motion artifacts in T1 weighted| |Deep leaning<br>Multi-resolution block<br>Dense conn,full text
10.1016/j.mri.2020.05.002,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,", such as fluid-attenuated inversion recovery (FLAIR), T2-weighted, diffusion-weighted, and 3D imaging. An effective an",full text
10.1016/j.mri.2020.05.002,pulse_sequences,FLAIR,\bFLAIR\b,"equences, such as fluid-attenuated inversion recovery (FLAIR), T2-weighted, diffusion-weighted, and 3D imaging. A",full text
10.1016/j.mri.2020.05.002,pulse_sequences,DWI,\bDWI\b|diffusion[- ]weighted|\bDTI\b|\bdMRI\b|\bHARDI\b,"id-attenuated inversion recovery (FLAIR), T2-weighted, diffusion-weighted, and 3D imaging. An effective and automatic motion a",full text
10.1109/tmi.2020.2987026,method_family,Generative (GAN/diffusion/VAE),\bGANs?\b,"ing (MRI), image synthesis, generative adversarial network (GAN), deep learning (DL), image fusion._** Manuscript received",title+abstract
10.1109/tmi.2020.2987026,evaluation,Observer / reader study,\breaders?\b,ogy. Results from both quantitative comparison and clinical reader study demonstrate that the multi-task formulation leads to,title+abstract
10.1109/tmi.2020.2987026,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,"in the acquisition, can lead to undesirable reconstruction artifacts, especially in T2-FLAIR contrast. To improve the image qua",title+abstract
10.1109/tmi.2020.2987026,failure_modes,Robustness / distribution shift,generali[sz]ability,"tilized to enhance reconstruction quality. To improve model generalizabilityand evaluate clinical significance,the proposed model was tr",title+abstract
10.1109/tmi.2020.2987026,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,"synthesis. For example, [18], [19] synthesize T2w from T1w image, [20] generates 7T high resolution images from 3",full text
10.1109/tmi.2020.2987026,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,"e the reconstruction quality [5]–[7]. Particularly for T2-weighted fluid-attenuated inversion recovery (T2-FLAIR) images,",full text
10.1109/tmi.2020.2987026,pulse_sequences,FLAIR,\bFLAIR\b,"undesirable reconstruction artifacts, especially in T2-FLAIR contrast. To improve the image quality, in this study,",full text
10.1109/tmi.2020.2987026,reference_standard,Conventional reconstruction comparator,,", the proposed model was even preferred by the readers compared with the conventional acquisition (p<0.005), possibly due to better suppression of motio",full text
10.1109/tmi.2020.2987026,code_available,yes,(?:code|implementation) (?:is|will be|are)? ?(?:publicly |freely )?available|github\.com|gitlab\.com|zenodo,"structure with multiple residual blocks [24], > 1The code is available on: https://github.com/guanhuaw/DeepMAGiC. which has",full text
10.1002/mrm.28526,method_family,Compressed sensing / parallel imaging,compressed sensing,"ith an acceleration factor of 8. Compared with the existing compressed sensing–based methods, the proposed method produced significantly r",title+abstract
10.1002/mrm.28526,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,"sampled T2 weighted data, a companion high-resolution T1-weighted image was also acquired, as it is often the case in mo",full text
10.1002/mrm.28526,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,exploiting the low-rank structure and sparsity in the T2-weighted image sequence and image priors learned from training,full text
10.1002/mrm.28526,pulse_sequences,DWI,\bDWI\b|diffusion[- ]weighted|\bDTI\b|\bdMRI\b|\bHARDI\b,Turnbull LW. Comparison of quantitative T2 mapping and diffusion-weighted imaging in the normal and pathologic prostate. _Magn R,full text
10.1002/mrm.28526,public_dataset,HCP,\bHCP\b|Human Connectome,priors for a single TE were generated from the public Human Connectome Project data using a tissue-based deep learning method,full text
10.1002/mrm.28526,reference_standard,Fully sampled reference,,"coefficients _bn_ , _l_ are estimated from the central fully sampled k-space data <u>{</u> } using least-squares fitting.<sup>35</s",full text
10.1007/978-3-030-87234-2/46,pulse_sequences,DWI,\bDWI\b|diffusion[- ]weighted|\bDTI\b|\bdMRI\b|\bHARDI\b,# **Accurate Parameter Estimation in Fetal Diffusion-Weighted MRI - Learning from Fetal and Newborn Data** Davoo,full text
10.1007/978-3-030-87234-2/46,public_dataset,HCP,\bHCP\b|Human Connectome,) method [22]. The newborn scan is from the developing Human Connectome Project (dHCP) dataset [3]. Newborn subjects can be im,full text
10.1007/978-3-030-87234-2/46,public_dataset,dHCP,\bdHCP\b|developing Human Connectome,uares (WLLS) method [22]. The newborn scan is from the developing Human Connectome Project (dHCP) dataset [3]. Newborn subjects can be im,full text
10.1109/embc46164.2021.9630596,method_family,Generative (GAN/diffusion/VAE),diffusion (?:model|prior|probabilistic),able results. Synb0-DisCo has proven to reduce variation in diffusion modeling creating a synthetic b-0 image to complement the single,title+abstract
10.1109/embc46164.2021.9630596,evaluation,Pixel-wise metrics (PSNR/SSIM/NRMSE),\bMSE\b,is four image sets we then obtained the mean squared error (MSE) and mutual information (MI). We observed a diminished mean,title+abstract
10.1109/embc46164.2021.9630596,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,"isition times, differences in scanning methods and physical artifacts, these images must be processed by image correction algori",title+abstract
10.1109/embc46164.2021.9630596,failure_modes,Geometric / anatomical distortion,distortion correction,Evaluation of EPI Distortion Correction using Synb0-DisCo and Reversed Phase <!-- source: verbatim,title+abstract
10.1109/embc46164.2021.9630596,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,"ing as inputs the distorted b0 image and an anatomical T1 weighted image. Thus, this approach allows the implementation o",full text
10.1109/embc46164.2021.9630596,pulse_sequences,DWI,\bDWI\b|diffusion[- ]weighted|\bDTI\b|\bdMRI\b|\bHARDI\b,"antos-Díaz<sup>1</sup><sup>_,_2</sup> **_Abstract_ — Diffusion weighted imaging is a widely used imaging technique for the ass",full text
10.1109/embc46164.2021.9630596,code_available,yes,(?:code|implementation) (?:is|will be|are)? ?(?:publicly |freely )?available|github\.com|gitlab\.com|zenodo,is paper can be found in the following github: https://github.com/Garmanta/LarynxCong **4026** Authorized licensed u,full text
10.1109/embc46164.2021.9630435,method_family,Generative (GAN/diffusion/VAE),\bsynthesi[sz],contrast allergies impede imaging with numerous sequences. Synthesizing images of such non acquired sequences is a challenging p,title+abstract
10.1109/embc46164.2021.9630435,method_family,Super-resolution,super[- ]?resolution,"ffice for corrupted acquisition, fast reconstruction prior, super-resolution, etc. This manuscript employed a deep convolution neural ne",title+abstract
10.1109/embc46164.2021.9630435,evaluation,Pixel-wise metrics (PSNR/SSIM/NRMSE),\bPSNR\b,"Similarity Measure (SSIM), and Peak Signal to Noise Ratio (PSNR). The Radiologist and MR physicist performed the Turing tes",title+abstract
10.1109/embc46164.2021.9630435,evaluation,Observer / reader study,radiologists?,"Measure (SSIM), and Peak Signal to Noise Ratio (PSNR). The Radiologist and MR physicist performed the Turing test with 76% accurac",title+abstract
10.1109/embc46164.2021.9630435,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,"of MRI provides complementary information, such as the T1 weighted sequence delineates gray and white matter in the brain",full text
10.1109/embc46164.2021.9630435,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,"lineates gray and white matter in the brain, while the T2 weighted sequence delineates fluid from cortical tissue. Such m",full text
10.1109/embc46164.2021.9630435,pulse_sequences,FLAIR,\bFLAIR\b,"thesis has been proposed [9] for the reconstruction of FLAIR sequence given T1, T2, and _PD_ weighted images. Auto-",full text
10.1109/embc46164.2021.9630435,pulse_sequences,DWI,\bDWI\b|diffusion[- ]weighted|\bDTI\b|\bdMRI\b|\bHARDI\b,"image, with the objective of correcting distortion in diffusion-weighted MR image. Local patch-based search on a dictionary of",full text
10.1109/embc46164.2021.9630435,public_dataset,BraTS,\bBraTS\b,"e multimodal brain tumor image segmentation benchmark (brats),” _IEEE Trans. Med. Imaging_ , vol. 34, no. 10, pp. 1",full text
10.1007/s00234-022-03053-1,evaluation,Observer / reader study,radiologists?,"lter, and original T2 image without a filter. Two pediatric radiologists independently evaluated the following image quality paramet",title+abstract
10.1007/s00234-022-03053-1,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,"sharpness of gray–white matter differentiation, truncation artifact, motion artifact, cerebrospinal fluid and vascular pulsatio",title+abstract
10.1007/s00234-022-03053-1,failure_modes,Motion degradation,motion[- ](?:artifact|corrupt|degrad|induced),"of gray–white matter differentiation, truncation artifact, motion artifact, cerebrospinal fluid and vascular pulsation artifacts, and",title+abstract
10.1007/s00234-022-03053-1,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,"onfirmed in other applicable 2d brain sequences (e.g., T1-weighted and FLAIR sequences). ## **Conclusion** The vendor",full text
10.1007/s00234-022-03053-1,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,underwent 3.0 T brain MRI were included in this study. T2-weighted brain MRI was reconstructed using the three different,full text
10.1007/s00234-022-03053-1,pulse_sequences,FLAIR,\bFLAIR\b,"r applicable 2d brain sequences (e.g., T1-weighted and FLAIR sequences). ## **Conclusion** The vendor-provided",full text
10.1007/s00234-022-03053-1,pulse_sequences,DWI,\bDWI\b|diffusion[- ]weighted|\bDTI\b|\bdMRI\b|\bHARDI\b,"u YJ, Cheon J-E, Kim I-O, Choi YH (2018) Comparison of DWI methods in the pediatric brain: PROPELLER turbo spin-e",full text
10.1002/mrm.29314,method_family,Compressed sensing / parallel imaging,\bGRAPPA\b,Improved signal-to-noise performance of MultiNet GRAPPA 1H FID MRSI reconstruction with semi-synthetic calibration,title+abstract
10.1002/mrm.29314,evaluation,Perceptual / learned metrics,\bFID\b,Improved signal-to-noise performance of MultiNet GRAPPA 1H FID MRSI reconstruction with semi-synthetic calibration data <!,title+abstract
10.1002/mrm.29314,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,"elerated and fully sampled metabolic maps, RMS of the lipid artifacts, and fitting reliability were compared across acceleration",title+abstract
10.1002/mrm.29314,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,nd a voxel size of 0.78 × 0.78 × 10 mm<sup>3</sup> . A T1w-FFE sequence was used with a flip angle of 80<sup>◦</s,full text
10.1002/mrm.29314,reference_standard,Fully sampled reference,,"bility were compared across acceleration rates, to the fully sampled data, and with different kinds and amounts of training imag",full text
10.1016/j.jmr.2022.107301,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,atim from paper full text --> Bias field is one of the main artifacts that degrade the quality of magnetic resonance images. It,title+abstract
10.1016/j.jmr.2022.107301,failure_modes,Robustness / distribution shift,robust,"ng bias field and preserving image structure, and BFCNet is robust to different levels of bias field and noise.",title+abstract
10.1016/j.jmr.2022.107301,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,"deep learning InhomoNet [32], experimental results on T1-weighted and T2-weighted brain images show that the proposed me",full text
10.1016/j.jmr.2022.107301,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,"accuracy by 4.1% and 6.8% on white and grey matter in T2-weighted brain images. Moreover, BFCNet outperforms the state-o",full text
10.1016/j.jmr.2022.107301,public_dataset,HCP,\bHCP\b|Human Connectome,the correction performance of BFCNet was evaluated on Human Connectome Project (HCP) brain images. The BFCNet was compared wi,full text
10.1117/12.2622233,method_family,Generative (GAN/diffusion/VAE),\bgenerative\b,"features by forcing NNs to exploit context information in a generative model. Here, we focus on a medical imaging application, whe",title+abstract
10.1117/12.2622233,method_family,Self-supervised / unsupervised,self[- ]supervised,Self-supervised learning in medical imaging - anomaly detection in MRI usin,title+abstract
10.1117/12.2622233,evaluation,Observer / reader study,radiologists?,"ly detection in medical imaging, thus potentially enhancing radiologists’ productivity.",title+abstract
10.1117/12.2622233,failure_modes,Hallucination / fidelity / instability,anomaly detection,Self-supervised learning in medical imaging - anomaly detection in MRI using autoencoders <!-- source: verbatim from paper,title+abstract
10.1117/12.2622233,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,"le dataset of brain MR images that originally includes T1-weighted, T2-weighted, and FLAIR images, of patients with and w",full text
10.1117/12.2622233,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,ll dataset with only 23 training and 35 test images of T2-weighted brain MRI scans from healthy controls (training) and t,full text
10.1117/12.2622233,pulse_sequences,FLAIR,\bFLAIR\b,"that originally includes T1-weighted, T2-weighted, and FLAIR images, of patients with and without brain tumors. The",full text
10.1007/s00234-023-03212-y,method_family,Super-resolution,super[- ]?resolution,Feasibility study of super-resolution deep learning-based reconstruction <!-- source: verbatim fr,title+abstract
10.1007/s00234-023-03212-y,evaluation,Observer / reader study,radiologists?,"width at half maximum (FWHM) of the septum pellucidum. Two radiologists assessed image noise, contrast, artifacts, blur, and the ov",title+abstract
10.1007/s00234-023-03212-y,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,"ellucidum. Two radiologists assessed image noise, contrast, artifacts, blur, and the overall quality of three image types using",title+abstract
10.1007/s00234-023-03212-y,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,"head coil. After generating scout images, we obtained T1-weighted images, T2-weighted images, **Fig. 1** Flow diagram",full text
10.1007/s00234-023-03212-y,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,"nerating scout images, we obtained T1-weighted images, T2-weighted images, **Fig. 1** Flow diagram of patient’s inclusi",full text
10.1007/s00234-023-03212-y,pulse_sequences,DWI,\bDWI\b|diffusion[- ]weighted|\bDTI\b|\bdMRI\b|\bHARDI\b,tation of the apparent diffusion coefficient (ADC) for diffusion-weighted images (DWI) in brain magnetic resonance imaging (MRI),full text
10.1007/s10334-023-01142-7,method_family,Compressed sensing / parallel imaging,low[- ]rank,"an time. In this work, we leveraged the benefits of Locally Low Rank (LLR) constrained reconstruction to enhance the SNR. Furthe",title+abstract
10.1007/s10334-023-01142-7,evaluation,Pixel-wise metrics (PSNR/SSIM/NRMSE),\bPSNR\b,", structural similarity index measure (SSIM), and peak SNR (PSNR). Results For 4 × under-sampled with 7 blades data, online",title+abstract
10.1007/s10334-023-01142-7,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,r fast-spin-echo diffusion magnetic resonance imaging (FSE-dMRI) is essential for the diagnosis of Cholesteatoma.,full text
10.1007/s10334-023-01142-7,pulse_sequences,DWI,\bDWI\b|diffusion[- ]weighted|\bDTI\b|\bdMRI\b|\bHARDI\b,st-spin-echo diffusion magnetic resonance imaging (FSE-dMRI) is essential for the diagnosis of Cholesteatoma. Howe,full text
10.1007/s10334-023-01142-7,reference_standard,Fully sampled reference,,"-rank approaches such as LORAKS [17], MUSSEL [18], and fully sampled data may be also utilized instead of image-based LLR for th",full text
10.1109/tim.2024.3481545,method_family,Physics-based / unrolled,unroll,Image Reconstruction With B0 Inhomogeneity Using a Deep Unrolled Network <!-- source: verbatim from paper full text --> MR,title+abstract
10.1109/tim.2024.3481545,evaluation,Pixel-wise metrics (PSNR/SSIM/NRMSE),\bSSIM\b,"ms of root-meansquared error (RMSE), structural similarity (SSIM), residual distortions, and computation time. Imaging resul",title+abstract
10.1109/tim.2024.3481545,failure_modes,Robustness / distribution shift,generali[sz]ation,"conventional regularization methods (30 s), and had better generalization ability than the UnUNet method. The proposed RebinNet can a",title+abstract
10.1109/tim.2024.3481545,failure_modes,Hallucination / fidelity / instability,fidelity,stems require fast image reconstruction with high geometric fidelity to localize and track tumors for radiotherapy treatments. H,title+abstract
10.1109/tim.2024.3481545,failure_modes,Geometric / anatomical distortion,geometric (?:distortion|accuracy|fidelity),I-Linac systems require fast image reconstruction with high geometric fidelity to localize and track tumors for radiotherapy treatments. H,title+abstract
10.1109/tim.2024.3481545,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,"Network Training and Testing_ In this work, a public T1-weighted brain image dataset from 11 healthy volunteers was uti",full text
10.1109/tim.2024.3481545,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,"ase encoding direction: R/L, turbo spin echo sequence (TSE), and TE/TR = 15 ms/5.1 s. Our previously developed sp",full text
10.1109/tim.2024.3481545,reference_standard,Fully sampled reference,,"ZF, DFCS, and UnUNet methods at AFs = 2, 4, and 6. For fully sampled data, the RebinNet and the conventional/theoretical Fourier",full text
