row_id,year,title,journal,pmid,doi,reviewer_decision,reason
K014,2024,Highly accelerated multi-shot intravoxel incoherent motion diffusion-weighted imaging in brain enabled by parametric POCS-based multiplexed sensitivity encoding.,NMR in biomedicine,37871617.0,10.1002/nbm.5063,include,
K015,2026,PET Head Motion Estimation Using Supervised Deep Learning With Attention.,IEEE transactions on medical imaging,41082441.0,10.1109/TMI.2025.3620714,exclude,wrong_population
K016,2021,Implementation and Image Quality Benefit of a Hybrid-Space PET Point Spread,,,10.1109/nss/mic44867.2021.9875877,exclude,wrong_population
K017,2019,PEC-GRAPPA reconstruction of simultaneous multislice EPI with slice-dependent 2D Nyquist ghost correction,,,10.1002/mrm.27546,include,
K018,2021,A Generalized Linear modeling approach to bootstrapping multi-frame PET image data.,Medical image analysis,34186431.0,10.1016/j.media.2021.102132,exclude,wrong_population
K019,2022,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm,,,10.1016/j.mri.2021.10.038,exclude,wrong_population
K020,2018,Rotating single-shot acquisition (RoSA) with composite reconstruction for fast high-resolution diffusion imaging.,Magnetic resonance in medicine,28321904.0,10.1002/mrm.26671,include,
K021,2022,High-throughput volumetric adaptive optical imaging using compressed time-reversal matrix,Light: Science & Applications,,10.1038/s41377-021-00705-4,exclude,wrong_population
K022,2022,Spatiotemporal Flexible Sparse Reconstruction for Rapid Dynamic Contrast-Enhanced MRI.,IEEE transactions on bio-medical engineering,34166181.0,10.1109/tbme.2021.3091881,include,
K023,1995,Using an image database to constrain the acquisition and reconstruction of MR images of the human head,IEEE Transactions on Medical Imaging,,10.1109/42.387716,unsure,
K024,2022,Texture Analysis in Brain Tumor MR Imaging.,Magnetic resonance in medical sciences,33692222.0,10.2463/mrms.rev.2020-0159,exclude,review_editorial_protocol_commentary
K025,2020,Self-calibrating wave-encoded 3D turbo spin echo imaging using subspace model based autofocusing,,,10.1002/mrm.28007,include,
K026,2025,Conditional deep generative normative modeling for structural and developmental anomaly detection in the fetal brain.,NeuroImage,40912664.0,10.1016/j.neuroimage.2025.121442,exclude,wrong_intervention_or_index
K027,2019,Conductive gel bridge sensor for motion tracking in simultaneous EEG-fMRI recordings,,,10.1016/j.eplepsyres.2018.12.008,exclude,wrong_intervention_or_index
K028,2025,Dual-Network Deep Learning for Accelerated Head and Neck MRI,,,10.1002/hed.28255,exclude,wrong_population
K029,2020,Volumetric mapping of intra- and extracellular pH in the human brain using 31 P MRSI at 7T.,Magnetic resonance in medicine,32237169.0,10.1002/mrm.28255,exclude,wrong_outcome
K030,2025,Reliability assessment of accelerated MR sequences for the estimation of structural and vascular markers in dementia.,Scientific reports,40240759.0,10.1038/s41598-025-87224-z,include,
K031,2020,"High-fidelity, high-isotropic-resolution diffusion imaging through gSlider acquisition with B1+ and T1 corrections and integrated ΔB0/Rx shim array.",Magnetic resonance in medicine,31373048.0,10.1002/mrm.27899,include,
K032,2023,High resolution 0.5mm isotropic T1-weighted and diffusion tensor templates of the brain of non-demented older adults in a common space for the MIITRA atlas.,NeuroImage,37783362.0,10.1016/j.neuroimage.2023.120387,exclude,wrong_intervention_or_index
K033,2026,Accelerating CEST MRI through complementary undersampling and multi-offset transformer reconstruction,Communications Engineering,,10.1038/s44172-025-00580-6,include,
K034,2026,Improved Simultaneous Multislice EPI Reconstruction for Diffusion MRI using regularized iterative phase error-corrected SENSE.,NeuroImage,41512942.0,10.1016/j.neuroimage.2026.121684,include,
K035,2022,Self-navigated prospective motion correction for 3D-EPI acquisition,,,10.1002/mrm.29202,include,
K036,2021,White matter volume not associated with hallucinations in clinical high risk and first-episode psychosis: A voxel-based morphometry study.,Psychiatry and clinical neurosciences,34191366.0,10.1111/pcn.13284,exclude,wrong_intervention_or_index
K037,2025,EDGeNet Electroencephalography Denoising Efficient Network for Fast Artifact Removal,,,10.1109/embc58623.2025.11253564,exclude,wrong_population
K038,2003,Diffusion-weighted imaging of the spine: is it reliable?,AJNR. American journal of neuroradiology,12812965.0,,exclude,review_editorial_protocol_commentary
K039,2020,Spiral T1 Spin-Echo for Routine Postcontrast Brain MRI Exams: A Multicenter Multireader Clinical Evaluation.,AJNR. American journal of neuroradiology,32029467.0,10.3174/ajnr.a6409,include,
K040,2024,Enhancing Prenatal Diagnosis Automated Fetal Brain MRI Morphology,,,10.1007/978-3-031-73260-7/10,exclude,wrong_intervention_or_index
K041,2024,MICCAI conference chapter,,,10.1007/978-3-031-72111-3/32,exclude,wrong_intervention_or_index
K042,2023,Clinical Evaluation of Scout Accelerated Motion Estimation and Reduction Technique for 3D MR Imaging in the Inpatient and Emergency Department Settings.,AJNR. American journal of neuroradiology,36702502.0,10.3174/ajnr.a7777,include,
K043,2026,Motion-Informed 3D Deep Learning Reconstruction in Patients with Cognitive Impairment,AJNR Am J Neuroradiol,,10.3174/ajnr.a8977,include,
K044,2021,Improved Reliability of Automated ASPECTS Evaluation Using Iterative Model Reconstruction from Head CT Scans.,Journal of neuroimaging : official journal of the American Society of Neuroimaging,33421036.0,10.1111/jon.12810,exclude,wrong_population
K045,2024,Deep Convolutional Backbone Comparison for Automated PET Image Quality Assessment,IEEE Transactions on Radiation and Plasma Medical Sciences,,10.1109/trpms.2024.3436697,exclude,wrong_population
K046,2020,A hybrid method for artifact removal of visual evoked EEG,,,10.1016/j.jneumeth.2020.108638,exclude,wrong_population
K047,2020,Self-Navigated Three-Dimensional Ultrashort Echo Time Technique for Motion-Corrected Skull MRI.,IEEE transactions on medical imaging,32149683.0,10.1109/tmi.2020.2978405,exclude,wrong_population
K048,2020,Automated adaptive preconditioner for quantitative susceptibility mapping.,Magnetic resonance in medicine,31402519.0,10.1002/mrm.27900,exclude,wrong_intervention_or_index
K049,2026,Denoising of 4D dynamic PET images using spatiotemporal regularization with integrated temporal restoration (SPRINTER).,EJNMMI physics,42315816.0,10.1186/s40658-026-00898-w,exclude,wrong_population
K050,2018,In vivo self-gated 23Na MRI at 7 T using an oval-shaped body resonator,,,10.1002/mrm.27103,exclude,wrong_population
K051,2025,CAF CrossAttentionFusion for Unsupervised Brain MRI Segmentation,2025 International Conference on Big Data and Data Mining (BDDM),,10.1109/bddm68348.2025.11442193,exclude,wrong_intervention_or_index
K052,2019,High Isotropic Resolution T2 Mapping of the Lumbosacral Plexus with T2-Prepared 3D Turbo Spin Echo.,Clinical neuroradiology,29322233.0,10.1007/s00062-017-0658-9,exclude,wrong_population
K053,2022,[Improvement of Motion Artifacts in Brain MRI Using Deep Learning by Simulation Training Data].,Nihon Hoshasen Gijutsu Gakkai zasshi,35046218.0,10.6009/jjrt.780108,exclude,non_english
K054,2026,Highly Undersampled MRI Reconstruction via a Single Posterior Sampling of Diffusion Models,IEEE Transactions on Medical Imaging,,10.1109/TMI.2026.3654585,unsure,
K055,2021,Independent Component Analysis for Noise and Artifact Removal in Three-Dimensional Polarized Light Imaging,Brain-Inspired Computing,,10.1007/978-3-030-82427-3_7,exclude,wrong_population
K056,2024,Performance Evaluation of Medical Image Denoising using Convolutional Autoencoders,,,10.1109/iccit62134.2024.10701250,include,
K057,2025,Schizophrenia Segmentation From sMRI Data: A Fusion Approach Using U-Net and Vision Transformer-Based Grad-CAM,IEEE Access,11218217.0,10.1109/access.2025.3625766,exclude,wrong_intervention_or_index
K058,2025,Interpretable Multimodal Brain Image Fusion for Alzheimer's Diagnosis Via a Siamese Autoencoder,,,10.1109/nss/mic/rtsd57106.2025.11287936,exclude,wrong_intervention_or_index
K059,2023,ASSURED Self-Supervised Deep Decoder Network for Fetus Brain MRI Reconstru,,,10.1109/isbi53787.2023.10230366,include,
K060,2022,DualMMP-GAN Dual-scale multi-modality perceptual generative adversarial network,,,10.1016/j.compbiomed.2022.105387,exclude,wrong_intervention_or_index
K061,2022,Model-based dynamic off-resonance correction for improved accelerated fMRI in awake behaving nonhuman primates.,Magnetic resonance in medicine,35081259.0,10.1002/mrm.29167,exclude,wrong_population
K062,2021,Enhanced design matrix for task-related fMRI data analysis.,NeuroImage,34775007.0,10.1016/j.neuroimage.2021.118719,exclude,wrong_intervention_or_index
K063,2019,Rigid-body motion correction in hybrid PET/MRI using spherical navigator echoes.,Physics in medicine and biology,30884475.0,10.1088/1361-6560/ab10b2,include,
K064,2023,Development of Software Tools Based on Clinical Data and Phantom Studies for Mathematical Simulation Modeling to Assess Brain Perfusion and Improve Image Quality During SPECT/CT with 99mTc-GMPAO,Medical Radiology and radiation safety,,10.33266/1024-6177-2023-68-6-106-117,exclude,wrong_population
K065,2022,Accuracy investigations for volumetric head-motion navigators with and without EPI at 7 T.,Magnetic resonance in medicine,35576128.0,10.1002/mrm.29296,include,
K066,2025,Autoencoder-Driven Fiducial Landmark Identification in 3D Brain MRI for Neuroimaging Alignment,IEEE ACCESS,,10.1109/access.2025.3582273,exclude,wrong_intervention_or_index
K067,2022,In-plane simultaneous multisegment imaging using a 2D RF pulse.,Magnetic resonance in medicine,34350601.0,10.1002/mrm.28956,include,
K068,2017,A comprehensive numerical analysis of background phase correction with V-SHARP.,NMR in biomedicine,27259117.0,10.1002/nbm.3550,exclude,wrong_intervention_or_index
K069,2024,MCDDPM: Multichannel Conditional Denoising Diffusion Model for Unsupervised Anomaly Detection in Brain MRI,"2024 17th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",,10.1109/CISP-BMEI64163.2024.10906217,exclude,wrong_intervention_or_index
K070,2025,"Assessment of AI-accelerated T2-weighted brain MRI, based on clinical ratings and image quality evaluation.",European journal of radiology,40315626.0,10.1016/j.ejrad.2025.112123,include,
K071,2024,Integrating DCCS-Net for High-Fidelity Watermarking and Tampering Detection,,,10.1109/icccmla63077.2024.10871454,exclude,wrong_intervention_or_index
K072,2026,CWT and phase congruency moments based multimodal image fusion,,,10.1007/s11042-026-21417-0,exclude,wrong_intervention_or_index
K073,2021,Quantitative Evaluation of Synthesized Brain PET Using a Variational Autoenc,,,10.1109/nss/mic44867.2021.9875443,exclude,wrong_population
K074,2016,Optimized parallel transmit and receive radiofrequency coil for ultrahigh-field MRI of monkeys,,,10.1016/j.neuroimage.2015.10.048,exclude,wrong_population
K075,2020,Echo-planar imaging of the human head with 100 mT_m gradients and high-order modeling of eddy current fields,,,10.1002/mrm.28168,include,
K076,2024,On The Local Geometry of the Pet Reconstruction Problem,2024 IEEE International Symposium on Biomedical Imaging (ISBI),,10.1109/ISBI56570.2024.10635309,exclude,wrong_population
K077,2020,Correction of Motion Artifacts Using a Multiscale Fully Convolutional Neural Network.,AJNR. American journal of neuroradiology,32054615.0,10.3174/ajnr.a6436,include,
K078,2023,Brain Tumor Recognition from MRI Using Deep Learning with Data Augmentation,,,10.1007/978-981-99-7093-3/35,exclude,wrong_intervention_or_index
K079,2026,IterMask3D: Unsupervised anomaly detection and segmentation with test-time iterative mask refinement in 3D brain MRI.,Medical image analysis,40945172.0,10.1016/j.media.2025.103763,exclude,wrong_intervention_or_index
K080,2026,Diffusion Model-Based Motion Correction in Portable Computed Tomography for Brain: A Human Observer Study.,Academic radiology,41500858.0,10.1016/j.acra.2025.12.028,exclude,wrong_population
K081,2019,Bundle-specific tractography with incorporated anatomical and orientational priors.,NeuroImage,30453031.0,10.1016/j.neuroimage.2018.11.018,exclude,wrong_intervention_or_index
K082,2016,De Novo Emergence of Odor Category Representations in the Human Brain.,The Journal of neuroscience,26758838.0,10.1523/JNEUROSCI.3248-15.2016,exclude,wrong_intervention_or_index
K083,2019,Sparsity and locally low rank regularization for MR fingerprinting.,Magnetic resonance in medicine,30720209.0,10.1002/mrm.27665,include,
K084,2023,Image quality assessment for MRI Is it up to the task,,,10.1109/euvip58404.2023.10323060,exclude,review_editorial_protocol_commentary
K085,2018,Accuracy and Reliability of Multiphase CTA Perfusion for Identifying Ischemic Core,,,10.1007/s00062-018-0717-x,exclude,wrong_population
K086,2018,Low dose CBCT reconstruction via prior contour based total variation (PCTV) regularization: a feasibility study.,Physics in medicine and biology,29537385.0,10.1088/1361-6560/aab68d,exclude,wrong_population
K087,2023,Functional Alignment-Auxiliary Generative Adversarial Network-Based Visual Stimuli Reconstruction via Multi-Subject fMRI.,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,37279132.0,10.1109/tnsre.2023.3283405,exclude,wrong_intervention_or_index
K088,2015,A novel regularized K-SVD dictionary learning based medical image,,,10.1007/s11042-015-2744-9,include,
K089,2025,Modified energy-based GAN for intensity in homogeneity correction in brain MR images.,Scientific reports,40691452.0,10.1038/s41598-025-08552-8,include,
K090,2024,Physically informed deep neural networks for metabolite-corrected plasma input function estimation in dynamic PET imaging.,Computer methods and programs in biomedicine,39180914.0,10.1016/j.cmpb.2024.108375,exclude,wrong_population
K091,2024,A 3D Sparse Autoencoder for Fully Automated Quality Control of Affine Registrations in Big Data Brain MRI Studies,Journal of Imaging Informatics in Medicine,,10.1007/s10278-023-00933-7,exclude,wrong_intervention_or_index
K092,2022,Accelerated 3D T2-weighted images using compressed sensing,Neuroradiology,,10.1007/s00234-022-03028-2,include,
K093,2022,Data-driven learning to identify biomarkers in bipolar disorder,,,10.1016/j.cmpb.2022.107112,exclude,wrong_intervention_or_index
K094,2025,Personalized MRI-based characterization of subcortical anomalies in Ataxia-Telangiectasia using deep-learning.,PloS one,40880371.0,10.1371/journal.pone.0328828,exclude,wrong_intervention_or_index
K095,2025,Clinical evaluation of scout accelerated motion estimation,,,10.1007/s00247-025-06250-1,include,
K096,2013,Anisotropic smoothing regularization (AnSR) in Thirion's Demons registration evaluates brain MRI tissue changes post-laser ablation.,IEEE EMBC Annual International Conference,24110610.0,10.1109/EMBC.2013.6610423,exclude,wrong_intervention_or_index
K097,2020,Efficient Reconstruction Technique for Multi-Slice CS-MRI Using Novel Interpolation and 2D Sampling Scheme,IEEE Access,9123887.0,10.1109/access.2020.3004731,include,
K098,2025,Learning Perspective Distortion Correction in Cone-Beam X-Ray Transmission Imaging,,,10.1109/trpms.2025.3551501,exclude,wrong_population
K099,2018,Density-weighted concentric circle trajectories for high resolution brain magnetic resonance spectroscopic imaging at 7T.,Magnetic resonance in medicine,29106742.0,10.1002/mrm.26987,include,
K100,2023,Machine learning based dynamic consensus model for predicting blood-brain barrier permeability,Computers in Biology and Medicine,,10.1016/j.compbiomed.2023.106984,exclude,out_of_scope
K101,2019,Phase Image Texture Analysis for Motion Detection in Diffusion MRI (PITA-MDD).,Magnetic resonance imaging,31319127.0,10.1016/j.mri.2019.07.009,include,
K102,2023,Encoder-Decoder Contrast for Unsupervised Anomaly Detection in Medical Images,IEEE Transactions on Medical Imaging,,10.1109/tmi.2023.3327720,exclude,wrong_intervention_or_index
K103,2023,Accelerated Motion Correction for MRI Using Score-Based Generative Models,,,10.1109/isbi53787.2023.10230457,include,
K104,2024,CT Image Denoising and Deblurring With Deep Learning: Current Status and Perspectives,IEEE Transactions on Radiation and Plasma Medical Sciences,10354073.0,10.1109/trpms.2023.3341903,exclude,review_editorial_protocol_commentary
K105,2026,TomoRay cranial: synthesis of cranial CT imaging from biplanar radiographs using a generative adversarial network,European Radiology,,10.1007/s00330-025-12253-1,exclude,wrong_population
K106,2024,Differentiation of glioblastoma from solitary brain metastasis using deep ensembles,Computer Methods and Programs in Biomedicine,,10.1016/j.cmpb.2024.108288,exclude,wrong_intervention_or_index
K107,2026,Deep Learning-Accelerated 3D FLAIR Enables Reliable MS Lesion Detection,AJNR Am J Neuroradiol,,10.3174/ajnr.a9140,include,
K108,2020,Recalibrating the epigenetic clock: implications for assessing biological age in the human cortex.,Brain,33300551.0,10.1093/brain/awaa334,exclude,out_of_scope
K109,2023,Geometric Reliability of Super-Resolution Reconstructed Images from Clinical Fetal MRI in the Second Trimester.,Neuroinformatics,37284977.0,10.1007/s12021-023-09635-5,include,
K110,2025,Incorporating Radiologist Knowledge Into MRI Quality Metrics for Machine Learning Using Rank-Based Ratings.,Journal of magnetic resonance imaging : JMRI,39690114.0,10.1002/jmri.29672,include,
K111,2020,A segmentation-independent volume rendering visualisation method,,,10.1007/s00330-020-06715-x,exclude,wrong_intervention_or_index
K112,2017,Simultaneous maximum a posteriori longitudinal PET image reconstruction.,Physics in medicine and biology,28643694.0,10.1088/1361-6560/aa7b49,exclude,wrong_population
K113,2020,Multi-Echo Recovery with Field Inhomogeneity Compensation Using Structured Low-Rank Matrix Completion,2020 IEEE 17th International Symposium on Biomedical Imaging (ISBI),,10.1109/isbi45749.2020.9098418,unsure,
K114,2018,Magnetic Resonance Imaging beyond the proton what does oxygen-17 MRI have to offer,,,10.1016/j.zemedi.2018.01.003,exclude,review_editorial_protocol_commentary
K115,2022,Unsupervised arterial spin labeling image superresolution via multiscale generative adversarial network,,,10.1002/mp.15468,include,
K116,2025,AutoCorNN: An Unsupervised Physics-Aware Deep Learning Model for Geometric Distortion Correction of Brain MRI Images Towards MR-Only Stereotactic Radiosurgery.,Journal of imaging informatics in medicine,39080159.0,10.1007/s10278-024-01171-1,include,
K117,2021,GPU based parallel framework for receiver coil sensitivity estimation in SENSE reconstruction,,,10.1016/j.mri.2021.04.009,include,
K118,2019,Reducing Acoustic Inhomogeneity in Microwave Induced Thermoacoustic Tomography,,,10.1109/tbme.2019.2957535,exclude,wrong_population
K119,2019,Compressed Sensing-Sensitivity Encoding (CS-SENSE) Accelerated Brain Imaging: Reduced Scan Time without Reduced Image Quality.,AJNR. American journal of neuroradiology,30523142.0,10.3174/ajnr.A5905,include,
K120,2007,Importance of axial postcontrast images in the differential diagnosis,,,10.1016/j.clineuro.2007.07.017,exclude,review_editorial_protocol_commentary
K121,2019,Network Accelerated Motion Estimation and Reduction (NAMER): Convolutional neural network guided retrospective motion correction using a separable motion model.,Magnetic resonance in medicine,31045278.0,10.1002/mrm.27771,include,
K122,2023,Influence of image contrasts and reconstruction methods on the classification of multiple sclerosis-like lesions in simulated sodium magnetic resonance imaging.,Magnetic resonance in medicine,36373186.0,10.1002/mrm.29476,exclude,wrong_population
K123,2024,Deep learning-based super-resolution and denoising algorithm improves reliability of dynamic contrast-enhanced MRI in diffuse glioma.,Scientific reports,39455814.0,10.1038/s41598-024-76592-7,include,
K124,2021,Brain MR Image Segmentation using a Fast Fuzzy Clustering Approach,,,10.1109/icccnt51525.2021.9579961,exclude,wrong_intervention_or_index
K125,2023,Deep learning study on the mechanism of edge artifacts in,Annals of Nuclear Medicine,,10.1007/s12149-023-01862-9,exclude,wrong_population
K126,2025,Diagnosis of Sacroiliitis Through Semi-Supervised Segmentation and Radiomics Feature Analysis of MRI Images.,Journal of magnetic resonance imaging : JMRI,39912494.0,10.1002/jmri.29731,exclude,wrong_population
K127,2019,Learning-based CBCT correction using alternating random forest based on auto-context model.,Medical physics,30471129.0,10.1002/mp.13295,exclude,wrong_population
K128,2021,Simultaneous multi-slice image reconstruction using regularized image domain split slice-GRAPPA,Medical Image Analysis,,10.1016/j.media.2021.102000,include,
K129,2024,Diffusion based multi-domain neuroimaging harmonization method with preservation of anatomical details,NeuroImage,,10.48550/arxiv.2409.00807,unsure,
K130,2025,DenoiseMamba An Innovative Approach for EEG Artifact Removal Leveraging Mamba and CNN,,,10.1109/jbhi.2025.3573042,exclude,wrong_population
K131,2019,Markerless high-frequency prospective motion correction for neuroanatomical MRI.,Magnetic resonance in medicine,30821010.0,10.1002/mrm.27705,include,
K132,2023,"High-fidelity, high-spatial-resolution diffusion magnetic resonance imaging of ex vivo whole human brain at ultra-high gradient strength with structured low-rank echo-planar imaging ghost correction.",NMR in biomedicine,36106429.0,10.1002/nbm.4831,include,
K133,2020,Detection of mesial temporal lobe epileptiform discharges on intracranial electrodes using deep learning.,Clinical neurophysiology,31760212.0,10.1016/j.clinph.2019.09.031,exclude,wrong_population
K134,2025,Quantitative susceptibility mapping via deep neural networks with iterative reverse concatenations and recurrent modules.,Medical physics,40089979.0,10.1002/mp.17747,include,
K135,2026,Ultra-Fast Sub-Minute Brain MRI with Deep-Learning-reconstruction for Anesthesia-Free Emergency Imaging in Children,Clinical Neuroradiology,,10.1007/s00062-026-01627-7,include,
K136,2015,Image quality versus outcomes.,Journal of magnetic resonance imaging : JMRI,24677391.0,10.1002/jmri.24622,exclude,review_editorial_protocol_commentary
K137,2026,AutoRDH-Net A Hybrid Autoencoder-LSTM Model for MRI Brain Tumor Image Analysis,,,10.1109/icbdml68582.2026.11544982,include,
K138,2018,Optimization of the reconstruction parameters in [123I]FP-CIT SPECT.,Physics in medicine and biology,29553048.0,10.1088/1361-6560/aab799,exclude,wrong_population
K139,2023,Self-supervised MRI Reconstruction with Unrolled Diffusion Models,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,,10.1007/978-3-031-43999-5_47,include,
K140,2026,Combined angiography and perfusion using radial imaging and arterial spin labeling with structural contrast.,Magnetic resonance in medicine,40955094.0,10.1002/mrm.70073,include,
K141,2022,FReSCO: Flow Reconstruction and Segmentation for low-latency Cardiac Output monitoring using deep artifact suppression and segmentation.,Magnetic resonance in medicine,35781891.0,10.1002/mrm.29374,exclude,wrong_population
K142,2026,"Quality assessment and control of unprocessed anatomical, functional and diffusion MRI of the human brain using MRIQC",Nature Protocols,,10.1038/s41596-026-01352-y,exclude,review_editorial_protocol_commentary
K143,2022,Learning residual motion correction for fast and robust 3D multiparametric MRI.,Medical image analysis,35180675.0,10.1016/j.media.2022.102387,include,
K144,2024,Removal of electrical stimulus artifact in local field potential recorded from subthalamic nucleus,,,10.1016/j.jneumeth.2023.110038,exclude,wrong_population
K145,2016,Motion robust GRAPPA for echo-planar imaging.,Magnetic resonance in medicine,25920076.0,10.1002/mrm.25705,include,
K146,2025,Tau Pet Harmonization via Surface-Based Diffusion Model,2025 IEEE 22nd International Symposium on Biomedical Imaging (ISBI),,10.1109/isbi60581.2025.10981166,exclude,wrong_population
K147,2024,NPB-REC: A non-parametric Bayesian deep-learning approach for undersampled MRI reconstruction with uncertainty estimation.,Artificial intelligence in medicine,38462289.0,10.1016/j.artmed.2024.102798,include,
K148,2013,Automated transmission-mode scanning electron microscopy (tSEM) for large volume analysis at nanoscale resolution.,PloS one,23555711.0,10.1371/journal.pone.0059573,exclude,wrong_population
K149,2021,Multi-shot Calibration Technique for Microwave Imaging Systems,,,10.1109/cama49227.2021.9703495,exclude,wrong_population
K150,2023,"Deep self-learning enables fast, high-fidelity isotropic resolution restoration for volumetric fluorescence microscopy",Light: Science & Applications,,10.1038/s41377-023-01230-2,exclude,wrong_population
K151,2026,Comparing XAI Explanations and Synthetic Data Augmentation Strategies in Neuroimaging AI,Explainable Artificial Intelligence,,10.1007/978-3-032-08330-2_1,exclude,wrong_intervention_or_index
K152,2026,Regression Is All You Need for Medical Image Translation.,IEEE transactions on medical imaging,41477795.0,10.1109/TMI.2025.3650412,include,
K153,2025,Motion impact score for detecting spurious brain-behavior associations.,Nature communications,41022827.0,10.1038/s41467-025-63661-2,exclude,wrong_intervention_or_index
K154,2023,Fast Non-Markovian Diffusion Model for Weakly Supervised Anomaly Detection in Brain MR Images,,,10.1007/978-3-031-43904-9/56,exclude,wrong_intervention_or_index
K155,2020,"Impact of prospective motion correction, distortion correction methods and large vein bias on the spatial accuracy of cortical laminar fMRI at 9.4 Tesla.",NeuroImage,31812715.0,10.1016/j.neuroimage.2019.116434,include,
K156,2021,T1 -FLAIR imaging during continuous head motion: Combining PROPELLER with an intelligent marker.,Magnetic resonance in medicine,32871026.0,10.1002/mrm.28477,include,
K157,2021,Calibrationless parallel imaging reconstruction for multislice MR data using low-rank tensor completion,,,10.1002/mrm.28480,include,
K158,2023,Physics-Based Deep Learning for Imaging Neuronal Activity via Two-Photon a,,,10.1109/tci.2023.3282052,exclude,wrong_population
K159,2021,Brain Tissue Conductivity Measurements with MR-Electrical Properties Tomography: An In Vivo Study.,Brain topography,33289858.0,10.1007/s10548-020-00813-1,exclude,wrong_intervention_or_index
K160,2021,Unexpected external markers artifact in 3D k-space based parallel imaging turbo spin-echo MRI,Physica Medica,,10.1016/j.ejmp.2021.10.001,include,
K161,2004,Generative and recognition models for neuroanatomy,,,10.1016/j.neuroimage.2004.04.021,exclude,review_editorial_protocol_commentary
K162,2018,Geometry processing of conventionally produced mouse brain slice images.,Journal of neuroscience methods,29689283.0,10.1016/j.jneumeth.2018.04.008,exclude,wrong_population
K163,2024,Brain-wide functional connectivity artifactually inflates throughout functional magnetic resonance imaging scans.,Nature human behaviour,38898230.0,10.1038/s41562-024-01908-6,exclude,wrong_intervention_or_index
K164,2026,Latent Causal Modeling for 3D Brain MRI Counterfactuals,Deep Generative Models,,10.1007/978-3-032-05472-2_19,exclude,wrong_intervention_or_index
K165,2023,Validation of an automatic software in assessing fetal brain volume from three dimensional ultrasonographic volumes: Comparison with manual analysis.,Journal of clinical ultrasound : JCU,37307382.0,10.1002/jcu.23509,exclude,wrong_population
K166,2019,Model-based reconstruction framework for correction of signal pile-up and geometric distortions in prostate diffusion MRI.,Magnetic resonance in medicine,30393895.0,10.1002/mrm.27547,exclude,wrong_population
K167,2024,Improving MRI Resolution: A Cycle Consistent Generative Adversarial Network-Based Approach for 3T to 7T Translation,IEEE Access,10614315.0,10.1109/access.2024.3430968,include,
K168,2019,Discussion on the Application of Multi-modal Magnetic Resonance,,,10.1007/s10916-019-1215-7,exclude,wrong_intervention_or_index
K169,2024,Orthogonal Mixed-Effects Modeling for High-Dimensional Longitudinal Data,,,10.1109/tmi.2024.3435855,exclude,wrong_intervention_or_index
K170,2025,SISMIK for Brain MRI: Deep-Learning-Based Motion Estimation and Model-Based Motion Correction in k-Space.,IEEE transactions on medical imaging,39159019.0,10.1109/tmi.2024.3446450,include,
