timestamp_utc,pmid,doi,year,title,journal,decision,stage,include_reason,exclude_reason,flag_reason,background_reason,needs_human_review,reviewer_votes,evidence_spans,source_path,copy_path,confidence_score,confidence,reviewer_votes_normalized,automated_vote_count,automated_votes_summary
2026-07-27T12:23:32.158013+00:00,23555711,10.1371/journal.pone.0059573,2013,Automated transmission-mode scanning electron microscopy (tSEM) for large volume analysis at nanoscale resolution.,PloS one,exclude,fulltext_screening,,wrong_intervention_or_index: Electron microscopy imaging methodology (animal brain ultrastructure); not MRI and animal tissue.,,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""transmission-mode scanning electron microscopy (tSEM)"", ""Rats""]",2013 - Automated transmission-mode scanning electron microscopy (tSEM) for large volume analysis at nanoscale resolution. - PMID 23555711.md,,0.9,high,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,,10.1109/ISBI.2014.6868038,2014,Improving magnetic resonance resolution with supervised learning,2014 IEEE 11th International Symposium on Biomedical Imaging (ISBI),exclude,fulltext_Thu_adjudication,,wrong_outcome: Supervised random-forest super-resolution method development for brain MR images evaluated solely with PSNR against interpolation and self-similarity super-resolution baselines; the word 'hallucination' is used in its older s ...,,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""exclude""}","[""computing the peak signal to noise ratio (PSNR) for each of the four methods"", ""Table 3 shows the average PSNR (and standard deviation) values of the super-resolution T2-w images""]",2014 - Improving magnetic resonance resolution with supervised learning - IEEEXPLORE 6868038.md,,0.75,medium,"{""Thu_adjudicator"": ""exclude""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,25143262,10.1002/jmri.24728,2015,Artifactual microhemorrhage generated by susceptibility weighted image processing.,Journal of magnetic resonance imaging : JMRI,include,fulltext_screening,"Characterizes a reconstruction/processing failure mode where SWI homodyne filtering fabricates false microhemorrhages that could cause pathology overestimation, evaluated by neuroradiologist review, and shows 3D phase unwrapping mitigates i ...",,,,FALSE,"{""Dat Mai_fulltext"": ""include""}","[""artifactual microhemorrhages are introduced by the two-dimensional (2D) homodyne filtering"", ""could lead to overestimation of pathology""]",2015 - Artifactual microhemorrhage generated by susceptibility weighted image processing. - PMID 25143262.md,,0.85,high,{},1,"{""include"": 1}"
2026-07-27T12:23:32.158013+00:00,26646346,10.12968/hmed.2015.76.12.C189,2015,Functional magnetic resonance imaging.,British journal of hospital medicine,background_only,fulltext_screening,,,,review_for_background: Review article (publication type Review) overviewing fMRI; no original reconstruction-safety evaluation.,FALSE,"{""Dat Mai_fulltext"": ""background_only""}","[""Review"", ""Functional magnetic resonance imaging""]",2015 - Functional magnetic resonance imaging. - PMID 26646346.md,,0.85,high,{},1,"{""background_only"": 1}"
2026-07-27T12:23:32.158013+00:00,26606457,10.1016/j.media.2015.10.012,2015,Sparse Reconstruction Challenge for diffusion MRI: Validation on a physical phantom to determine which acquisition scheme and analysis method to use?,Medical image analysis,include,fulltext_screening,Community challenge benchmarking 16 diffusion-MRI reconstruction algorithms on a physical phantom to assess reconstruction accuracy and guide brain neuroimaging protocols (evaluation methodology comparing reconstructions).,,,,FALSE,"{""Dat Mai_fulltext"": ""include""}","[""validate the performance of multiple reconstruction methods"", ""quantitative results pertaining to each reconstruction algorithm""]",2015 - Sparse Reconstruction Challenge for diffusion MRI Validation on a physical phantom to determine which acquisition scheme - PMID 26606457.md,,0.7,medium,{},1,"{""include"": 1}"
2026-07-27T12:23:32.158013+00:00,26221716,10.1007/978-3-319-19992-4_58,2015,Tree-Encoded Conditional Random Fields for Image Synthesis.,Information processing in medical imaging,exclude,fulltext_Thu_adjudication,,wrong_outcome: Cross-contrast brain MR image synthesis (T1-w to T2-w/FLAIR) and super-resolution method development evaluated with synthesis quality metrics and downstream segmentation agreement; although the paper notes in passing that a c ...,,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""exclude""}","[""FUSION results (Fig. 1(b)) have the highest PSNR, but produce anatomically incorrect images, especially in the presence of abnormal tissue anatomy (lesions for example)"", ""showing similar segmentations to those obtained from real FLAIRs""]",2015 - Tree-Encoded Conditional Random Fields for Image Synthesis. - PMID 26221716.md,,0.6,low,"{""Thu_adjudicator"": ""exclude""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,28149968,10.1007/978-3-319-46723-8_66,2016,7T-Guided Learning Framework for Improving the Segmentation of 3T MR Images.,MICCAI,exclude,fulltext_Thu_adjudication,,wrong_outcome: Learning-based 3T-to-7T-like brain MR image enhancement/synthesis method development whose endpoints are reconstruction quality versus state-of-the-art methods and downstream WM/GM/CSF segmentation accuracy; there is no asses ...,,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""exclude""}","[""through the reconstruction of a higher-quality 7T-like MR image"", ""the outperformance of the proposed 7T MRI reconstruction method when compared to other state-of-the-art methods""]",2016 - 7T-Guided Learning Framework for Improving the Segmentation of 3T MR Images. - PMID 28149968.md,,0.7,medium,"{""Thu_adjudicator"": ""exclude""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,,10.1109/ISBI.2016.7493412,2016,Compressive sensing based Q-space resampling for handling fast bulk motion in hardi acquisitions,2016 IEEE 13th International Symposium on Biomedical Imaging (ISBI),include,fulltext_Thu_adjudication,"fidelity_failure_mode_evaluation: Beyond proposing a resampling method, the authors explicitly contribute a systematic evaluation framework that simulates a defined corruption failure mode (intra-gradient motion signal dropout) in clean bra ...",,,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""include""}","[""we present a systematic evaluation framework to study the impact of the exclusion of corrupted gradients versus QBI and SHORE-based resampling strategies on the reconstruction of orientation distribution functions"", ""Assessing deviations ...",2016 - Compressive sensing based Q-space resampling for handling fast bulk motion in hardi acquisitions - IEEEXPLORE 7493412.md,,0.6,low,"{""Thu_adjudicator"": ""include""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,26301458,10.1002/mrm.25899,2016,Correcting heat-induced chemical shift distortions in proton resonance frequency-shift thermometry.,Magnetic resonance in medicine,exclude,fulltext_Thu_adjudication,,wrong_intervention_or_index: Physics-based k-space signal-model algorithm that corrects heat-induced chemical-shift geometric distortion in MR thermometry temperature maps for MR-guided focused ultrasound therapy; although geometric distort ...,,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""exclude""}","[""results in a change in proton resonance frequency that causes geometric distortions in the image and calculated temperature maps"", ""peak temperature and thermal dose measurements were spatially offset by approximately 1 mm in vivo""]",2016 - Correcting heat-induced chemical shift distortions in proton resonance frequency-shift thermometry. - PMID 26301458.md,,0.65,low,"{""Thu_adjudicator"": ""exclude""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,26758838,10.1523/JNEUROSCI.3248-15.2016,2016,De Novo Emergence of Odor Category Representations in the Human Brain.,The Journal of neuroscience,exclude,fulltext_screening,,out_of_scope: Cognitive-neuroscience multivariate fMRI study of odor categorization; no MRI reconstruction or its safety evaluation.,,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""multivariate fMRI techniques"", ""emergence of novel odor category representations""]",2016 - De Novo Emergence of Odor Category Representations in the Human Brain. - PMID 26758838.md,,0.92,high,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,26714794,10.1002/mrm.26080,2016,Diffusion in realistic biophysical systems can lead to aliasing effects in diffusion spectrum imaging.,Magnetic resonance in medicine,include,fulltext_screening,"Evaluates and identifies a reconstruction failure mode where aliasing from fast diffusion components produces artifactual fiber reconstructions in brain DSI, characterizing the limitation and a mitigation.",,,,FALSE,"{""Dat Mai_fulltext"": ""include""}","[""aliasing ... can lead to artifactual fiber reconstructions"", ""evaluate DSI performances' under realistic biophysical conditions""]",2016 - Diffusion in realistic biophysical systems can lead to aliasing effects in diffusion spectrum imaging. - PMID 26714794.md,,0.6,low,{},1,"{""include"": 1}"
2026-07-27T12:23:32.158013+00:00,27459133,10.1055/s-0042-109071,2016,Dynamic 3D MR-Defecography.,RoFo,exclude,fulltext_screening,,out_of_scope: Pelvic-floor MR defecography; not brain MRI and no reconstruction-safety evaluation (no abstract).,,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""MR-Defecography"", ""Constipation / diagnostic imaging""]",2016 - Dynamic 3D MR-Defecography. - PMID 27459133.md,,0.85,high,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,26625404,10.1109/TBME.2015.2503756,2016,Fast Multiclass Dictionaries Learning With Geometrical Directions in MRI Reconstruction.,IEEE transactions on bio-medical engineering,exclude,fulltext_Thu_adjudication,,"wrong_outcome: Dictionary-learning compressed-sensing reconstruction method development for undersampled brain MRI, benchmarked against state-of-the-art reconstruction methods on generic image-quality grounds (artifact suppression, edge pre ...",,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""exclude""}","[""Artifacts are better suppressed and image edges are better preserved than the compared methods"", ""reconstruct images with better image quality""]",2016 - Fast Multiclass Dictionaries Learning With Geometrical Directions in MRI Reconstruction. - PMID 26625404.md,,0.75,medium,"{""Thu_adjudicator"": ""exclude""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,26511101,10.1002/mrm.25854,2016,High spatial resolution compressed sensing (HSPARSE) functional MRI.,Magnetic resonance in medicine,exclude,fulltext_screening,,"wrong_population: Compressed-sensing high-resolution fMRI reconstruction demonstrated in rats (animal-only optogenetic fMRI), despite evaluating fidelity metrics.",,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""Animals"", ""Rats"", ""hemodynamic response function distortion""]",2016 - High spatial resolution compressed sensing (HSPARSE) functional MRI. - PMID 26511101.md,,0.6,low,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,28269146,10.1109/EMBC.2016.7591588,2016,Motion invariant contrast enhancement of optical imaging data in the gradient domain.,IEEE EMBC Annual International Conference,exclude,fulltext_screening,,out_of_scope: Optical imaging (not MRI) motion-compensation/denoising pipeline in animals; off-topic modality.,,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""Functional optical imaging (OI)"", ""optic flow guided denoising""]",2016 - Motion invariant contrast enhancement of optical imaging data in the gradient domain. - PMID 28269146.md,,0.9,high,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,27637185,10.1186/s12938-016-0223-9,2016,Reproducibility of image-based computational models of intracranial aneurysm; methodological issue.,Biomedical engineering online,background_only,fulltext_screening,,,,review_for_background: Letter (publication type Letter) commenting on reproducibility methodology of aneurysm CFD models; non-original and off-topic to reconstruction-safety evaluation.,FALSE,"{""Dat Mai_fulltext"": ""background_only""}","[""Letter"", ""methodological issue""]",2016 - Reproducibility of image-based computational models of intracranial aneurysm; methodological issue. - PMID 27637185.md,,0.8,medium,{},1,"{""background_only"": 1}"
2026-07-27T12:23:32.158013+00:00,26140504,10.1002/mrm.25830,2016,Reverse retrospective motion correction.,Magnetic resonance in medicine,include,fulltext_Thu_adjudication,safety_verification_methodology: Proposes a reconstruction-based verification methodology that generates a second 'de-corrected' brain MRI dataset so that the effect of prospective motion correction on image quality can be directly evaluate ...,,,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""include""}","[""it has to be ensured that motion correction does not worsen quality of images compared to an uncorrected scan"", ""This allows for a direct evaluation of the effects of PMC on image quality"", ""since erroneous feedback during PMC may introdu ...",2016 - Reverse retrospective motion correction. - PMID 26140504.md,,0.7,medium,"{""Thu_adjudicator"": ""include""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,,10.1109/MMSP.2016.7813392,2016,Robust MRI reconstruction via re-weighted total variation and non-local sparse regression,2016 IEEE 18th International Workshop on Multimedia Signal Processing (MMSP),exclude,fulltext_Thu_adjudication,,wrong_outcome: Compressed-sensing brain MRI reconstruction method development (re-weighted total variation plus non-local sparse regression solved by ADMM) benchmarked against other CS approaches on generic edge preservation and artifact re ...,,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""exclude""}","[""show our method to outperform state-of-the-art compressed sensing approaches, by better preserving edges and removing artifacts in the image""]",2016 - Robust MRI reconstruction via re-weighted total variation and non-local sparse regression - IEEEXPLORE 7813392.md,,0.75,medium,"{""Thu_adjudicator"": ""exclude""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,26268139,10.1002/mrm.25863,2016,Rotated stack-of-spirals partial acquisition for rapid volumetric parallel MRI.,Magnetic resonance in medicine,exclude,fulltext_Thu_adjudication,,wrong_outcome: Acquisition-trajectory design study (rotating spiral interleaves in a stack-of-spirals trajectory) whose endpoints are aliasing-artifact appearance and g-factor at high acceleration; this is routine parallel-imaging performan ...,,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""exclude""}","[""Images reconstructed with a reduction factor of 16 were compared for aliasing artifacts and geometry factor (g-factor)""]",2016 - Rotated stack-of-spirals partial acquisition for rapid volumetric parallel MRI. - PMID 26268139.md,,0.75,medium,"{""Thu_adjudicator"": ""exclude""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,25765372,10.1002/mrm.25648,2016,Self-calibrated trajectory estimation and signal correction method for robust radial imaging using GRAPPA operator gridding.,Magnetic resonance in medicine,exclude,fulltext_Thu_adjudication,,wrong_outcome: Parallel-imaging-based retrospective correction of radial trajectory errors (gradient delays and eddy currents) that restores image quality and reduces streak and signal-void artifacts; the contribution is an artifact-correct ...,,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""exclude""}","[""image reconstruction with the estimated trajectory restores image quality and reduces artifacts such as streaks and signal voids""]",2016 - Self-calibrated trajectory estimation and signal correction method for robust radial imaging using GRAPPA operator gridd - PMID 25765372.md,,0.7,medium,"{""Thu_adjudicator"": ""exclude""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,26612076,10.1016/j.mri.2015.11.003,2016,Separation of parallel encoded complex-valued slices (SPECS) from a single complex-valued aliased coil image.,Magnetic resonance imaging,exclude,fulltext_Thu_adjudication,,"wrong_outcome: Multiband slice-unaliasing reconstruction model development for fMRI; although inter-slice signal leakage is a genuine reconstruction failure mode, the paper's aim is to eliminate it with a new least-squares estimator and to ...",,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""exclude""}","[""The SPECS model eliminates the consequential inter-slice signal leakage from the slice unaliasing"", ""to achieve separated images, with virtually no residual artifacts""]",2016 - Separation of parallel encoded complex-valued slices (SPECS) from a single complex-valued aliased coil image. - PMID 26612076.md,,0.65,low,"{""Thu_adjudicator"": ""exclude""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,27511014,10.1523/JNEUROSCI.4509-15.2016,2016,The Face-Processing Network Is Resilient to Focal Resection of Human Visual Cortex.,The Journal of neuroscience,exclude,fulltext_screening,,out_of_scope: Cognitive-neuroscience fMRI patient study of face processing after resection; no MRI reconstruction or its safety evaluation.,,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""multiple fMRI measurements"", ""face-selective regions""]",2016 - The Face-Processing Network Is Resilient to Focal Resection of Human Visual Cortex. - PMID 27511014.md,,0.92,high,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,28790433,10.1038/s41598-017-07792-7,2017,A Neural Marker of Obsessive-Compulsive Disorder from Whole-Brain Functional Connectivity.,Scientific reports,exclude,fulltext_screening,,out_of_scope: Machine-learning diagnostic biomarker from resting-state fMRI connectivity for OCD; not MRI reconstruction or its safety evaluation.,,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""machine learning algorithm identified an OCD biomarker"", ""functional connectivity""]",2017 - A Neural Marker of Obsessive-Compulsive Disorder from Whole-Brain Functional Connectivity. - PMID 28790433.md,,0.9,high,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,27259117,10.1002/nbm.3550,2017,A comprehensive numerical analysis of background phase correction with V-SHARP.,NMR in biomedicine,exclude,fulltext_Thu_adjudication,,"wrong_outcome: Parameter-sensitivity and optimisation study of the V-SHARP background-field-removal step for brain QSM, using RMSE against a numerical ground-truth brain model to select kernel radius and regularization and to propose a new ...",,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""exclude""}","[""an extensive analysis of the effect of these two parameters on the corrected phase images and on the reconstructed susceptibility maps"", ""The local root-mean-square error (RMSE) between the ground-truth, background-corrected field map and ...",2017 - A comprehensive numerical analysis of background phase correction with V-SHARP. - PMID 27259117.md,,0.55,low,"{""Thu_adjudicator"": ""exclude""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,28350887,10.1371/journal.pone.0174462,2017,Auditory steady state responses and cochlear implants: Modeling the artifact-response mixture in the perspective of denoising.,PloS one,exclude,fulltext_screening,,out_of_scope: Evaluates ICA denoising algorithms for cochlear-implant artifacts in EEG/evoked potentials; not MRI reconstruction.,,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""evaluate the performance of denoising algorithms"", ""cochlear implant electrical stimulation artifact""]",2017 - Auditory steady state responses and cochlear implants Modeling the artifact-response mixture in the perspective of denoi - PMID 28350887.md,,0.85,high,{},1,"{""exclude"": 1}"
